open file error: Sleipnir.20170610.2//6582.dividend
fread failed : Sleipnir.20170610.2//6582.dividend
open file error: Sleipnir.20170610.2//6582.earning.month
fread failed : Sleipnir.20170610.2//6582.earning.month
open file error: Sleipnir.20170610.2//6582.earning.season
fread failed : Sleipnir.20170610.2//6582.earning.season
open file error: Sleipnir.20170610.2//6582.price
fread failed : Sleipnir.20170610.2//6582.price
open file error: Sleipnir.20170610.2//6213.dividend
fread failed : Sleipnir.20170610.2//6213.dividend
save data failed
fread failed : Sleipnir.20170610.2//3708.earning.month
skcodelist.codenum = 701 
,100,31.70,21.45,25.36,8.40,3.02,1.80,0.20,7.10,8.92,
,101,29.30,22.50,25.96,9.17,2.83,2.50,0.00,9.63,9.63,
,102,39.20,24.85,32.89,11.24,2.93,1.20,0.00,3.65,3.65,
,103,37.25,22.95,31.20,8.65,3.61,4.00,0.00,12.82,12.82,
,104,25.60,16.00,21.40,12.24,1.75,1.85,0.00,8.64,8.64,
,105,22.20,16.40,19.01,9.50,2.00,1.00,1.00,5.26,13.73,
,106,22.20,17.50,19.44,8.04,2.42,1.00,1.00,5.15,13.63,
,1060609,22.10,22.10,22.10,7.65,2.89,1.00,1.00,4.52,13.07,
,28.70,29.84,
燦坤(2430),95,43.20,24.55,33.23,22.39,1.48,0.00,0.00,0.00,0.00,
,96,49.20,27.75,37.62,-nan,-nan,0.00,0.00,0.00,0.00,
,97,47.70,8.84,30.64,3.69,8.31,0.50,3.00,1.63,22.14,
,98,63.00,28.65,27.10,10.91,2.48,1.50,0.00,5.54,5.54,
,99,78.80,50.70,59.82,11.35,5.27,3.00,1.50,5.02,17.01,
,100,72.70,56.00,61.88,11.24,5.50,4.50,0.00,7.27,7.27,
,101,72.80,55.80,63.84,10.49,6.09,4.50,0.00,7.05,7.05,
,102,60.20,39.00,46.40,11.48,4.04,2.00,0.00,4.31,4.31,
,103,44.40,29.60,38.00,12.77,2.98,2.00,0.00,5.26,5.26,
,104,32.95,17.20,25.11,12.83,1.96,0.40,0.00,1.59,1.59,
,105,30.50,19.10,25.74,21.92,1.17,1.22,0.00,4.74,4.74,
,106,30.80,26.30,28.51,10.96,2.60,2.00,0.00,7.02,7.02,
,1060609,26.75,26.75,26.75,11.24,2.38,2.00,0.00,7.48,7.48,
,33.30,24.47,
根基(2546),95,11.90,5.57,7.88,7.63,1.03,0.00,0.00,0.00,0.00,
,96,23.10,8.21,12.64,10.33,1.22,0.00,0.00,0.00,0.00,
,97,21.05,6.26,11.96,12.44,0.96,0.50,0.00,4.18,4.18,
,98,26.00,8.20,17.06,11.37,1.50,0.50,0.00,2.93,2.93,
,99,32.70,20.50,27.45,8.45,3.25,2.90,0.00,10.56,10.56,
,100,30.40,12.80,24.65,9.61,2.56,2.86,0.00,11.60,11.60,
,101,17.25,11.75,13.68,15.27,0.90,0.50,0.00,3.65,3.65,
,102,18.60,12.65,15.27,17.07,0.89,1.00,0.00,6.55,6.55,
,103,18.10,14.90,16.53,8.95,1.85,1.00,0.00,6.05,6.05,
,104,18.40,12.70,15.97,12.23,1.31,1.50,0.00,9.39,9.39,
,105,17.40,14.50,15.63,10.31,1.52,1.00,0.00,6.40,6.40,
,106,20.00,17.15,18.78,10.51,1.79,1.50,0.00,7.99,7.99,
,1060609,18.70,18.70,18.70,10.22,1.83,1.50,0.00,8.02,8.02,
,21.62,15.60,
中橡(2104),95,42.20,19.65,28.64,16.34,1.75,0.00,0.00,0.00,0.00,
,96,53.00,30.00,38.09,15.77,2.42,0.00,0.00,0.00,0.00,
,97,46.80,21.65,34.74,12.54,2.77,2.00,0.00,5.76,5.76,
,98,37.05,27.25,32.44,9.65,3.36,1.50,0.00,4.62,4.62,
,99,35.10,28.65,31.14,13.54,2.30,1.40,0.00,4.50,4.50,
,100,32.60,22.60,28.49,13.68,2.08,1.60,0.00,5.62,5.62,
